NZ_CP072215.1_43945-54537:._4	411ae5a1aabd3b3b949d0766147c6498	291	Pfam	PF04055	Radical SAM superfamily	27	186	6.3E-14	T	13-04-2026	IPR007197	Radical SAM	-	-
NZ_CP072215.1_43945-54537:._4	411ae5a1aabd3b3b949d0766147c6498	291	CDD	cd01335	Radical_SAM	27	210	4.83418E-5	T	13-04-2026	-	-	-	-
NZ_AP029022.1_2742988-2753550:._5	c0958e8c9f408c316d4afaa74c74b5bf	385	CDD	cd01483	E1_enzyme_family	180	300	4.41872E-24	T	13-04-2026	-	-	-	-
NZ_AP029022.1_2742988-2753550:._5	c0958e8c9f408c316d4afaa74c74b5bf	385	Pfam	PF20590	Domain of unknown function (DUF6791)	11	162	1.2E-40	T	13-04-2026	IPR046741	Domain of unknown function DUF6791	-	-
NZ_AP029022.1_2742988-2753550:._5	c0958e8c9f408c316d4afaa74c74b5bf	385	Pfam	PF00899	ThiF family	174	301	4.3E-12	T	13-04-2026	IPR000594	THIF-type NAD/FAD binding fold	-	-
NZ_CP051682.1_46407-57116:._7	331c1cc24d299d2a98fd2a501c9e0c47	280	Pfam	PF00535	Glycosyl transferase family 2	6	131	1.3E-9	T	13-04-2026	IPR001173	Glycosyltransferase 2-like	-	-
NZ_CP110012.1_3190230-3200819:._5	92e8fbc15ff15fc4df1da41f74a33dfb	170	Pfam	PF18863	AbiJ N-terminal domain 4	4	39	2.1E-6	T	13-04-2026	IPR049503	HEPN, AbiJ-N-terminal domain 4	-	-
NZ_CP095413.1_5460829-5471271:._8	7461b1adf3f98a6ab6375ddda4e42d75	235	Pfam	PF13852	Protein of unknown function (DUF4197)	34	233	5.2E-66	T	13-04-2026	IPR025245	Protein of unknown function DUF4197	-	-
NZ_CP193656.1_3635614-3646293:._13	e90afcdbcfc6d0533a510eb2c2a7022d	599	CDD	cd00130	PAS	229	331	3.46549E-18	T	13-04-2026	IPR000014	PAS domain	-	-
NZ_CP193656.1_3635614-3646293:._13	e90afcdbcfc6d0533a510eb2c2a7022d	599	Pfam	PF02518	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase	477	597	7.0E-16	T	13-04-2026	IPR003594	Histidine kinase/HSP90-like ATPase	-	-
NZ_CP193656.1_3635614-3646293:._13	e90afcdbcfc6d0533a510eb2c2a7022d	599	Pfam	PF08447	PAS fold	244	327	1.7E-15	T	13-04-2026	IPR013655	PAS fold-3	-	-
NZ_CP193656.1_3635614-3646293:._13	e90afcdbcfc6d0533a510eb2c2a7022d	599	CDD	cd00082	HisKA	363	429	3.511E-7	T	13-04-2026	IPR003661	Signal transduction histidine kinase, dimerisation/phosphoacceptor domain	-	-
NZ_CP193656.1_3635614-3646293:._13	e90afcdbcfc6d0533a510eb2c2a7022d	599	Pfam	PF00512	His Kinase A (phospho-acceptor) domain	367	429	0.0019	T	13-04-2026	IPR003661	Signal transduction histidine kinase, dimerisation/phosphoacceptor domain	-	-
NZ_CP193656.1_3635614-3646293:._13	e90afcdbcfc6d0533a510eb2c2a7022d	599	Pfam	PF08448	PAS fold	99	207	0.026	T	13-04-2026	IPR013656	PAS fold-4	-	-
NZ_CM148634.1_2194474-2205048:._6	10c07b10defd7d06b9ad8faabb3f0538	269	Pfam	PF06114	IrrE N-terminal-like domain	34	166	2.5E-11	T	13-04-2026	IPR010359	IrrE N-terminal-like domain	-	-
NZ_CP197400.1_1166464-1177041:._3	98d7594b2b3377a686f4fdccf1363632	474	Pfam	PF01938	TRAM domain	14	62	0.0013	T	13-04-2026	IPR002792	TRAM domain	-	-
NZ_CP197400.1_1166464-1177041:._3	98d7594b2b3377a686f4fdccf1363632	474	CDD	cd02440	AdoMet_MTases	331	421	3.41568E-11	T	13-04-2026	-	-	-	-
NZ_CP197400.1_1166464-1177041:._3	98d7594b2b3377a686f4fdccf1363632	474	Pfam	PF05958	tRNA (Uracil-5-)-methyltransferase	295	474	3.5E-15	T	13-04-2026	IPR010280	(Uracil-5)-methyltransferase family	-	-
NZ_CP120354.1_19280-29884:._4	b7432615e8f4813fa57030d3bb7a691d	208	CDD	cd08071	MPN_DUF2466	88	200	1.39961E-50	T	13-04-2026	IPR025657	RadC-like JAB domain	-	-
NZ_CP120354.1_19280-29884:._4	b7432615e8f4813fa57030d3bb7a691d	208	Pfam	PF04002	RadC-like JAB domain	86	203	1.3E-35	T	13-04-2026	IPR025657	RadC-like JAB domain	-	-
NZ_CP143637.1_1427192-1437565:._3	97bdc78d468d1710ca408575d3cb2fd7	334	Pfam	PF00561	alpha/beta hydrolase fold	67	199	4.0E-5	T	13-04-2026	IPR000073	Alpha/beta hydrolase fold-1	-	-
NZ_OZ245719.1_5125857-5136431:._6	e2692fd040c3899346b61c36479b657d	170	Pfam	PF02796	Helix-turn-helix domain of resolvase	117	162	0.001	T	13-04-2026	IPR006120	Resolvase, HTH domain	-	-
NZ_OZ245719.1_5125857-5136431:._6	e2692fd040c3899346b61c36479b657d	170	Pfam	PF00239	Resolvase, N terminal domain	3	115	1.0E-36	T	13-04-2026	IPR006119	Resolvase, N-terminal catalytic domain	-	-
NZ_OZ245719.1_5125857-5136431:._6	e2692fd040c3899346b61c36479b657d	170	CDD	cd03768	SR_ResInv	6	105	3.11501E-50	T	13-04-2026	-	-	-	-
NZ_CP096965.1_32657-43249:._2	59a84f439c38e1504b2b26fbd772d903	946	Pfam	PF12833	Helix-turn-helix domain	863	941	4.2E-20	T	13-04-2026	IPR018060	DNA binding HTH domain, AraC-type	-	-
NZ_CP096965.1_32657-43249:._2	59a84f439c38e1504b2b26fbd772d903	946	Pfam	PF07494	Two component regulator propeller	84	105	1.2	T	13-04-2026	IPR011110	Two component regulator propeller	-	-
NZ_CP096965.1_32657-43249:._2	59a84f439c38e1504b2b26fbd772d903	946	Pfam	PF07495	Y_Y_Y domain	708	768	2.1E-12	T	13-04-2026	IPR011123	Two component regulator three Y	-	-
NZ_CP033918.1_3313892-3324232:._7	aea7f4d572b6630a7eec001609ccef50	89	Pfam	PF00239	Resolvase, N terminal domain	6	40	0.0016	T	13-04-2026	IPR006119	Resolvase, N-terminal catalytic domain	-	-
